Object ID,Ticket Number,Citation Issue Date,Citaton Issue Month,Citation Issue Time,Location,Violation Code,Violation,Fine Amount,Citation Status,Amount Paid,Amount Due,Suspend Code,Suspend Process Date,Suspend Until Date,Disposition Code,Last Edited Date,Geom
30,100082632,7/25/2008,,19:28,2854 GEARY,V22500I,BUS ZONE,250,Closed,$250.00 ,0,730 730TRNLN,07/31/2008 12:00:00 AM +0000,08/21/2008 12:00:00 AM +0000,23 PD TIMELY,,"(37.7823179334, -122.449692945)"
339,722351884,4/6/2009,,10:05,405 POST ST,T32A.1,TWAWY ZN#1,70,Closed,$70.00 ,0, ,,, ,,"(37.7882158732, -122.408514229)"
31,100082635,7/25/2008,,16:50,646 GEARY,V22500I,BUS ZONE,250,Closed, $                       -,0,213 HR REQ REC,01/19/2009 12:00:00 AM +0000,04/19/2009 12:00:00 AM +0000,5 HU HR UPHD,,"(37.7867035072, -122.413963663)"
32,100082636,7/26/2008,,19:30,336 GEARY,V22500H,DBL PARK,65,Closed,$65.00 ,0,15 15 DBL PRK,10/17/2008 12:00:00 AM +0000,11/07/2008 12:00:00 AM +0000, ,,"(37.7873530884, -122.408871917)"
33,100082637,7/27/2008,,12:15,336 GEARY,V22500I,BUS ZONE,250,Closed,$250.00 ,0,730 730TRNLN,07/31/2008 12:00:00 AM +0000,08/21/2008 12:00:00 AM +0000, ,,"(37.7873530884, -122.408871917)"
34,100082638,7/27/2008,,12:16,620 GEARY,V22500I,BUS ZONE,250,Closed,$250.00 ,0, ,,, ,,"(37.7867558589, -122.413553369)"
35,100082640,7/27/2008,,10:31,667 OFARRELL,V22500H,DBL PARK,65,Closed,$65.00 ,0,730 730TRNLN,07/31/2008 12:00:00 AM +0000,08/21/2008 12:00:00 AM +0000, ,,"(37.785380427, -122.415723545)"
36,100082641,7/27/2008,,20:08,667 OFARRELL,V22500H,DBL PARK,65,Closed,$65.00 ,0,730 730TRNLN,07/31/2008 12:00:00 AM +0000,08/21/2008 12:00:00 AM +0000, ,,"(37.785380427, -122.415723545)"
37,100082642,7/27/2008,,10:30,336 GEARY,V22500I,BUS ZONE,250,Closed, $                       -,0,16 16 BUSZONE,10/17/2008 12:00:00 AM +0000,11/07/2008 12:00:00 AM +0000,5 HU HR UPHD,,"(37.7873530884, -122.408871917)"
38,100082643,7/30/2008,,12:34,476 GEARY,V22500H,DBL PARK,65,Closed,$65.00 ,0,15 15 DBL PRK,10/10/2008 12:00:00 AM +0000,10/31/2008 12:00:00 AM +0000, ,,"(37.7870628691, -122.411147027)"
39,100082644,7/30/2008,,17:19,463 OFARRELL,V22500H,DBL PARK,65,Closed,$65.00 ,0,15 15 DBL PRK,10/27/2008 12:00:00 AM +0000,11/17/2008 12:00:00 AM +0000, ,,"(37.7857997081, -122.412388255)"
40,100010941,9/30/2008,,15:17,778 GEARY,V22500H,DBL PARK,75,Closed, $                       -,0,22 22 GEN VAL,01/19/2009 12:00:00 AM +0000,02/09/2009 12:00:00 AM +0000,5 HU HR UPHD,,"(37.7864293981, -122.416111722)"
41,100010942,9/30/2008,,14:51,222 O'FARRELL,V22500I,BUS ZONE,250,Open, $                       -,335,730 730TRNLN,10/07/2008 12:00:00 AM +0000,10/28/2008 12:00:00 AM +0000, ,,"(37.7864229282, -122.408535636)"
42,100010944,9/30/2008,,13:38,964 GEARY,V22500H,DBL PARK,75,Closed, $                       -,0,50 50 DP RU,02/17/2009 12:00:00 AM +0000,12/30/1999 12:00:00 AM +0000,21 MAIL DELAY,,"(37.786039728, -122.419177707)"
43,100010945,9/30/2008,,10:02,40 GEARY,V22500I,BUS ZONE,250,Closed,$250.00 ,0,16 16 BUSZONE,01/21/2009 12:00:00 AM +0000,02/11/2009 12:00:00 AM +0000, ,,"(37.7879563268, -122.404141801)"
44,100010946,10/3/2008,,10:57,526 GEARY,V22500I,BUS ZONE,250,Closed,$250.00 ,0,730 730TRNLN,10/14/2008 12:00:00 AM +0000,11/04/2008 12:00:00 AM +0000, ,,"(37.7869533424, -122.412005539)"
45,100010947,10/3/2008,,12:45,515 GEARY,V22500I,BUS ZONE,250,Closed,$250.00 ,0,730 730TRNLN,10/14/2008 12:00:00 AM +0000,11/04/2008 12:00:00 AM +0000, ,,"(37.7868435623, -122.411775886)"
46,100010948,10/17/2008,,16:39,540 GEARY,V22500H,DBL PARK,75,Closed,$135.00 ,0,6 6 EXP TIME,01/27/2009 12:00:00 AM +0000,01/27/2009 12:00:00 AM +0000, ,,"(37.7869232479, -122.412241428)"
47,100013625,10/17/2008,,12:36,387 O'FARRELL,V22500H,DBL PARK,75,Closed, $                       -,0,51 DISMS CITE,02/09/2009 12:00:00 AM +0000,12/30/1999 12:00:00 AM +0000, ,,"(37.7859632703, -122.411086943)"
48,100013626,10/18/2008,,14:37,823 O'FARRELL,V22500H,DBL PARK,75,Closed,$75.00 ,0,730 730TRNLN,10/24/2008 12:00:00 AM +0000,11/14/2008 12:00:00 AM +0000, ,,"(37.785054417, -122.418297929)"
49,100013627,10/19/2008,,18:21,475 OFARRELL,V22500H,DBL PARK,75,Closed,$75.00 ,0,15 15 DBL PRK,12/22/2008 12:00:00 AM +0000,01/12/2009 12:00:00 AM +0000, ,,"(37.7857763946, -122.412573735)"
50,100013628,10/19/2008,,18:21,511 OFARRELL,V22500H,DBL PARK,75,Closed,$100.00 ,0,730 730TRNLN,10/28/2008 12:00:00 AM +0000,11/18/2008 12:00:00 AM +0000, ,,"(37.7857005872, -122.413176813)"
51,100013629,10/21/2008,,14:34,320 GEARY,V22500I,BUS ZONE,250,Closed, $                       -,0,16 16 BUSZONE,02/04/2009 12:00:00 AM +0000,02/25/2009 12:00:00 AM +0000,108 HR UP NTPD,,"(37.7873853343, -122.408619108)"
52,100013631,10/21/2008,,10:35,448 GEARY ST,V22500H,DBL PARK,75,Closed,$75.00 ,0,730 730TRNLN,10/29/2008 12:00:00 AM +0000,11/19/2008 12:00:00 AM +0000, ,,"(37.7871191182, -122.410706099)"
53,100013632,10/21/2008,,18:20,715 O'FARRELL,V22500H,DBL PARK,75,Closed,$160.00 ,0,459 459 STILOW,08/05/2009 12:00:00 AM +0000,08/05/2009 12:00:00 AM +0000, ,,"(37.7852787793, -122.416528954)"
54,100013630,10/22/2008,,11:15,422 GEARY,V22500H,DBL PARK,75,Closed,$135.00 ,0,730 730TRNLN,10/29/2008 12:00:00 AM +0000,11/19/2008 12:00:00 AM +0000,26 COLFFDMV,,"(37.787171349, -122.410296666)"
55,100013633,12/15/2008,,11:41,959 MISSION,V22500H,DBL PARK,75,Closed,$75.00 ,0,730 730TRNLN,12/22/2008 12:00:00 AM +0000,01/12/2009 12:00:00 AM +0000, ,,"(37.7816364439, -122.407763041)"
56,100013635,12/15/2008,,16:45,1320 MISSION,V22500I,BUS ZONE,250,Closed,$250.00 ,0,730 730TRNLN,12/22/2008 12:00:00 AM +0000,01/12/2009 12:00:00 AM +0000, ,,"(37.7760594404, -122.415060081)"
57,100013636,12/16/2008,,11:06,532 GEARY ST,V22500I,BUS ZONE,250,Closed, $                       -,0,50 50 DP RU,02/03/2009 12:00:00 AM +0000,12/30/1999 12:00:00 AM +0000,1 RU RV UPHD,,"(37.7869404453, -122.412106633)"
58,100013637,12/17/2008,,13:04,537 3RD ST,V22500H,DBL PARK,75,Open, $                       -,160,730 730TRNLN,12/23/2008 12:00:00 AM +0000,01/13/2009 12:00:00 AM +0000, ,,
59,100013638,12/17/2008,,13:02,537 3RD ST,V22500H,DBL PARK,75,Closed,$75.00 ,0, ,,, ,,
60,100013640,12/17/2008,,14:49,274 SUTTER,V22500H,DBL PARK,75,Closed,$75.00 ,0,730 730TRNLN,12/23/2008 12:00:00 AM +0000,01/13/2009 12:00:00 AM +0000, ,,"(37.7897504183, -122.405062326)"
61,975990352,2/24/2009,,13:03,308 MISSION,V22500.1,PK FR LN,60,Closed, $                    -,0,51 DISMS CITE,03/25/2009 12:00:00 AM +0000,12/30/1999 12:00:00 AM +0000, ,,"(37.7911325477, -122.395981188)"
62,100002566,2/24/2009,,15:27,445 O'FARRELL ST.,V22500H,DBL PARK,75,Closed,$75.00 ,0,730 730TRNLN,03/03/2009 12:00:00 AM +0000,03/24/2009 12:00:00 AM +0000, ,,"(37.7858373298, -122.412088949)"
63,975990363,2/25/2009,,10:25,464 GEARY,V22500H,DBL PARK,75,Open, $                    -,160,730 730TRNLN,03/03/2009 12:00:00 AM +0000,03/24/2009 12:00:00 AM +0000, ,,"(37.7870869756, -122.410958059)"
64,975990385,2/26/2009,,10:55,758 SACRAMENTO,V22500H,DBL PARK,75,Closed,$75.00 ,0, ,,, ,,"(37.7935291455, -122.405528731)"
65,100002568,2/26/2009,,13:15,321 MISSION ST.,V22500H,DBL PARK,75,Closed,$75.00 ,0,730 730TRNLN,03/04/2009 12:00:00 AM +0000,03/25/2009 12:00:00 AM +0000, ,,"(37.7909555741, -122.395960019)"
66,100004000,2/26/2009,,16:09,161 MAIN,V22500I,BUS ZONE,250,Closed,$250.00 ,0,730 730TRNLN,03/04/2009 12:00:00 AM +0000,03/25/2009 12:00:00 AM +0000, ,,"(37.7911508427, -122.393964119)"
67,975990396,2/27/2009,,11:17,878 GEARY,T32A.1,TWAWY ZN#1,70,Closed,$70.00 ,0,730 730TRNLN,03/04/2009 12:00:00 AM +0000,03/25/2009 12:00:00 AM +0000, ,,"(37.7862201248, -122.417751476)"
68,100002567,2/27/2009,,09:35,75 - 3RD ST.,V22500H,DBL PARK,75,Closed,$75.00 ,0,730 730TRNLN,03/04/2009 12:00:00 AM +0000,03/25/2009 12:00:00 AM +0000, ,,
69,100004001,3/1/2009,,16:18,663 CLAY,V22500H,DBL PARK,75,Closed,$75.00 ,0, ,,, ,,"(37.7944701736, -122.404173898)"
70,100004003,3/1/2009,,15:23,690 GEARY,T32A.2,TWAWY ZONE,70,Closed,$70.00 ,0, ,,, ,,"(37.7866149085, -122.414658007)"
71,100004008,3/1/2009,,13:25,09 STOCKTON,V22500H,DBL PARK,75,Closed,$75.00 ,0,730 730TRNLN,03/06/2009 12:00:00 AM +0000,03/27/2009 12:00:00 AM +0000, ,,"(37.785683106, -122.406005973)"
72,100002569,3/2/2009,,10:32,1156 MISSION ST,V22500H,DBL PARK,75,Closed,$75.00 ,0, ,,, ,,"(37.7782709286, -122.412269762)"
73,100002570,3/2/2009,,12:11,416 GEARY ST,V22500H,DBL PARK,75,Closed,$75.00 ,0, ,,, ,,"(37.7871834025, -122.410202182)"
74,100002571,3/2/2009,,12:11,454 GEARY ST,V22500H,DBL PARK,75,Closed,$75.00 ,0,730 730TRNLN,03/06/2009 12:00:00 AM +0000,03/27/2009 12:00:00 AM +0000,23 PD TIMELY,,"(37.7871070651, -122.410800584)"
75,100002572,3/2/2009,,13:51,507 O'FARRELL ST.,T32A.2,TWAWY ZONE,70,Closed, $                    -,0,731 731MP EXP,03/14/2009 12:00:00 AM +0000,12/30/1999 12:00:00 AM +0000, ,,"(37.7857085328, -122.413113602)"
76,100004004,3/2/2009,,10:32,595 POST,V22500I,BUS ZONE,250,Closed,$250.00 ,0,730 730TRNLN,03/06/2009 12:00:00 AM +0000,03/27/2009 12:00:00 AM +0000, ,,"(37.7878236379, -122.411586414)"
77,100004005,3/2/2009,,15:54,912 SUTTER,V22500I,BUS ZONE,250,Closed,$310.00 ,0,730 730TRNLN,03/06/2009 12:00:00 AM +0000,03/27/2009 12:00:00 AM +0000, ,,"(37.7884301317, -122.415450502)"
78,100004006,3/2/2009,,17:50,8 SUTTER,V22500I,BUS ZONE,250,Closed,$250.00 ,0,16 16 BUSZONE,06/02/2009 12:00:00 AM +0000,06/23/2009 12:00:00 AM +0000, ,,"(37.7903565822, -122.400238633)"
79,100004011,3/2/2009,,15:59,166 4TH ST.,V22500I,BUS ZONE,250,Closed,$250.00 ,0,730 730TRNLN,03/10/2009 12:00:00 AM +0000,03/31/2009 12:00:00 AM +0000, ,,
80,100082645,7/30/2008,,10:06,207 OFARRELL,V22500I,BUS ZONE,250,Closed,$250.00 ,0,16 16 BUSZONE,10/20/2008 12:00:00 AM +0000,11/10/2008 12:00:00 AM +0000, ,,"(37.7863293433, -122.40817401)"
81,100082646,8/4/2008,,09:20,5999 GEARY,V22500H,DBL PARK,75,Closed,$100.00 ,0,730 730TRNLN,08/12/2008 12:00:00 AM +0000,09/02/2008 12:00:00 AM +0000, ,,"(37.780075696, -122.483693822)"
82,100082647,8/4/2008,,12:06,6479 GEARY,V22500H,DBL PARK,75,Closed,$75.00 ,0,730 730TRNLN,08/12/2008 12:00:00 AM +0000,09/02/2008 12:00:00 AM +0000, ,,"(37.7797762569, -122.488790578)"
83,100082648,8/4/2008,,10:26,2869 GEARY,V22500I,BUS ZONE,250,Closed,$310.00 ,0,91 P20 ENR,12/08/2008 12:00:00 AM +0000,03/17/2009 12:00:00 AM +0000, ,,"(37.7820213404, -122.449775138)"
84,100091625,8/4/2008,,14:10,758 OFARRELL,V22500H,DBL PARK,75,Closed,$75.00 ,0,730 730TRNLN,08/12/2008 12:00:00 AM +0000,09/02/2008 12:00:00 AM +0000,23 PD TIMELY,,"(37.785326263, -122.417249194)"
85,100091626,8/4/2008,,18:29,571 OFARRELL,V22500I,BUS ZONE,250,Closed,$310.00 ,0,730 730TRNLN,08/12/2008 12:00:00 AM +0000,09/02/2008 12:00:00 AM +0000,26 COLFFDMV,,"(37.7855813949, -122.414124989)"
86,100091627,8/5/2008,,20:10,850 OFARRELL,V22500H,DBL PARK,75,Closed,$75.00 ,0,15 15 DBL PRK,10/29/2008 12:00:00 AM +0000,11/19/2008 12:00:00 AM +0000, ,,"(37.7851344607, -122.418767183)"
87,100091628,8/5/2008,,10:11,646 MARKET,V22500H,DBL PARK,75,Closed,$135.00 ,0,730 730TRNLN,08/15/2008 12:00:00 AM +0000,09/05/2008 12:00:00 AM +0000, ,,"(37.788326896, -122.402784122)"
88,100091629,8/5/2008,,13:41,548 OFARRELL,V22500H,DBL PARK,75,Closed, $                       -,0,51 DISMS CITE,10/27/2008 12:00:00 AM +0000,12/30/1999 12:00:00 AM +0000, ,,"(37.785760725, -122.413804393)"
89,100091630,8/5/2008,,20:11,736 OFARRELL,V22500H,DBL PARK,75,Closed,$75.00 ,0,730 730TRNLN,08/15/2008 12:00:00 AM +0000,09/05/2008 12:00:00 AM +0000, ,,"(37.7853703149, -122.41690276)"
90,100091631,8/9/2008,,15:12,685 OFARRELL,V22500I,BUS ZONE,250,Closed,$250.00 ,0,91 P20 ENR,12/09/2008 12:00:00 AM +0000,04/22/2009 12:00:00 AM +0000, ,,"(37.785343774, -122.416015074)"
91,100091632,8/9/2008,,08:39,440 GEARY,V22500H,DBL PARK,75,Closed,$100.00 ,0,730 730TRNLN,08/19/2008 12:00:00 AM +0000,09/09/2008 12:00:00 AM +0000, ,,"(37.7871351897, -122.41058012)"
92,100091633,8/9/2008,,11:45,506 GEARY,V22500H,DBL PARK,75,Closed, $                       -,0,213 HR REQ REC,12/01/2008 12:00:00 AM +0000,03/01/2009 12:00:00 AM +0000,5 HU HR UPHD,,"(37.7869963349, -122.411668554)"
93,100091635,8/9/2008,,17:31,482 GEARY,V22500I,BUS ZONE,250,Closed,$250.00 ,0,730 730TRNLN,08/19/2008 12:00:00 AM +0000,09/09/2008 12:00:00 AM +0000, ,,"(37.7870508157, -122.411241512)"
94,100091636,8/9/2008,,15:43,937 GEARY,NO VIOL,NO VIOL,0,Closed, $                       -,0, ,,,25 OFCR ERROR,,"(37.7859600117, -122.418707243)"
95,100091637,8/10/2008,,08:51,565 GEARY,V22500I,BUS ZONE,250,Closed,$250.00 ,0,730 730TRNLN,08/19/2008 12:00:00 AM +0000,09/09/2008 12:00:00 AM +0000, ,,"(37.7867369608, -122.412611429)"
96,100091642,8/10/2008,,10:52,470 GEARY,V22500H,DBL PARK,75,Closed,$75.00 ,0,730 730TRNLN,08/19/2008 12:00:00 AM +0000,09/09/2008 12:00:00 AM +0000, ,,"(37.7870749224, -122.411052543)"
97,100091638,8/11/2008,,12:52,128 GEARY,V22500I,BUS ZONE,250,Closed,$250.00 ,0,730 730TRNLN,08/19/2008 12:00:00 AM +0000,09/09/2008 12:00:00 AM +0000, ,,"(37.7877792214, -122.405530682)"
98,100091639,8/11/2008,,14:52,54 GEARY,V22500H,DBL PARK,75,Closed,$75.00 ,0,730 730TRNLN,08/19/2008 12:00:00 AM +0000,09/09/2008 12:00:00 AM +0000, ,,"(37.7879292401, -122.404354229)"
99,100091640,8/11/2008,,10:52,649 GEARY,V22500I,BUS ZONE,250,Closed,$250.00 ,0,730 730TRNLN,08/19/2008 12:00:00 AM +0000,09/09/2008 12:00:00 AM +0000, ,,"(37.7865639044, -122.413967758)"
100,100091641,8/11/2008,,12:23,723 OFARRELL,V22500I,BUS ZONE,250,Closed,$250.00 ,0,730 730TRNLN,08/19/2008 12:00:00 AM +0000,09/09/2008 12:00:00 AM +0000, ,,"(37.7852627609, -122.416654929)"
101,100091644,8/12/2008,,12:37,593 MARKET,V22500H,DBL PARK,75,Closed,$75.00 ,0,22 22 GEN VAL,02/17/2009 12:00:00 AM +0000,03/10/2009 12:00:00 AM +0000,21 MAIL DELAY,,"(37.7893350326, -122.401102721)"
102,100091646,8/24/2008,,10:13,1204 MISSION,V22500H,DBL PARK,75,Closed, $                       -,0,731 731MP EXP,09/09/2008 12:00:00 AM +0000,12/30/1999 12:00:00 AM +0000, ,,"(37.7774444424, -122.413316173)"
103,100091647,8/24/2008,,17:44,4581 MISSION,V22500I,BUS ZONE,250,Closed, $                       -,0,731 731MP EXP,09/09/2008 12:00:00 AM +0000,12/30/1999 12:00:00 AM +0000, ,,"(37.7249647449, -122.434501122)"
104,100091648,8/24/2008,,12:47,315 MISSION,V22500I,BUS ZONE,250,Closed, $                       -,0,731 731MP EXP,09/09/2008 12:00:00 AM +0000,12/30/1999 12:00:00 AM +0000, ,,"(37.7909953849, -122.395909588)"
105,100091649,8/24/2008,,14:04,4581 MISSION,V22500H,DBL PARK,75,Closed, $                       -,0,731 731MP EXP,09/09/2008 12:00:00 AM +0000,12/30/1999 12:00:00 AM +0000, ,,"(37.7249647449, -122.434501122)"
106,100010925,8/25/2008,,09:28,549 MARKET,V22500I,BUS ZONE,250,Closed,$250.00 ,0,2 2 RVW DLAY,10/05/2008 12:00:00 AM +0000,07/05/2009 12:00:00 AM +0000, ,,"(37.7900818806, -122.400152628)"
107,100010928,9/9/2008,,16:10,656 GEARY,V22500I,BUS ZONE,250,Open, $                       -,335,730 730TRNLN,09/18/2008 12:00:00 AM +0000,10/09/2008 12:00:00 AM +0000, ,,"(37.7866833712, -122.414121469)"
108,100010930,9/11/2008,,16:08,557 OFARRELL,V22500I,BUS ZONE,250,Closed, $                       -,0,731 731MP EXP,09/23/2008 12:00:00 AM +0000,12/30/1999 12:00:00 AM +0000, ,,"(37.7856092065, -122.413903749)"
109,100010929,9/13/2008,,10:48,359 OFARRELL,V22500H,DBL PARK,75,Closed,$135.00 ,0, ,,, ,,"(37.7860187128, -122.410645812)"
110,100010931,9/13/2008,,12:22,414 OFARRELL,V22500H,DBL PARK,75,Closed,$135.00 ,0,730 730TRNLN,09/23/2008 12:00:00 AM +0000,10/14/2008 12:00:00 AM +0000, ,,"(37.7860318556, -122.411647409)"
111,100010932,9/14/2008,,11:48,266 OFARRELL,V22500H,DBL PARK,75,Closed,$75.00 ,0,730 730TRNLN,09/23/2008 12:00:00 AM +0000,10/14/2008 12:00:00 AM +0000, ,,"(37.7863406338, -122.409190505)"
112,100010933,9/15/2008,,15:46,1061 GEARY,V22500H,DBL PARK,75,Closed,$75.00 ,0, ,,, ,,"(37.785704577, -122.420740344)"
113,100010934,9/15/2008,,09:03,227 OFARRELL,V22500I,BUS ZONE,250,Closed,$250.00 ,0,730 730TRNLN,09/23/2008 12:00:00 AM +0000,10/14/2008 12:00:00 AM +0000, ,,"(37.7862828765, -122.408543794)"
114,100010935,9/19/2008,,12:50,660 GEARY,V22500I,BUS ZONE,250,Open, $                       -,335,100 100AR-CNCL,02/08/2009 12:00:00 AM +0000,02/08/2009 12:00:00 AM +0000, ,,"(37.7866753169, -122.414184592)"
115,100010936,9/19/2008,,14:53,946 GEARY,V22500I,BUS ZONE,250,Closed,$250.00 ,0,730 730TRNLN,09/26/2008 12:00:00 AM +0000,10/17/2008 12:00:00 AM +0000, ,,"(37.7860756634, -122.41889272)"
116,100010938,9/26/2008,,18:00,680 GEARY,V22500I,BUS ZONE,250,Closed,$310.00 ,0,16 16 BUSZONE,02/04/2009 12:00:00 AM +0000,02/25/2009 12:00:00 AM +0000, ,,"(37.7866350442, -122.414500202)"
